Codice Nazionale,Denominazione,Continente
Z100,ALBANIA,EUROPA
Z101,ANDORRA,EUROPA
Z102,AUSTRIA,EUROPA
Z103,BELGIO,EUROPA
Z104,BULGARIA,EUROPA
Z106,CITTA' DEL VATICANO,EUROPA
Z107,DANIMARCA,EUROPA
Z108,FAER OER (ISOLE),EUROPA
Z109,FINLANDIA,EUROPA
Z110,FRANCIA,EUROPA
Z112,GERMANIA,EUROPA
Z113,GIBILTERRA,EUROPA
Z114,REGNO UNITO,EUROPA
Z115,GRECIA,EUROPA
Z116,IRLANDA,EUROPA
Z117,ISLANDA,EUROPA
Z119,LIECHTENSTEIN,EUROPA
Z120,LUSSEMBURGO,EUROPA
Z121,MALTA,EUROPA
Z122,MAN (ISOLA),EUROPA
Z123,MONACO,EUROPA
Z124,NORMANNE (ISOLE)=ISOLE DEL CANALE,EUROPA
Z125,NORVEGIA,EUROPA
Z126,PAESI BASSI,EUROPA
Z127,POLONIA,EUROPA
Z128,PORTOGALLO,EUROPA
Z129,ROMANIA,EUROPA
Z130,SAN MARINO,EUROPA
Z131,SPAGNA,EUROPA
Z132,SVEZIA,EUROPA
Z133,SVIZZERA,EUROPA
Z134,UNGHERIA,EUROPA
Z138,UCRAINA,EUROPA
Z139,BIELORUSSIA,EUROPA
Z140,MOLDAVIA,EUROPA
Z144,ESTONIA,EUROPA
Z145,LETTONIA,EUROPA
Z146,LITUANIA,EUROPA
Z148,MACEDONIA,EUROPA
Z149,CROAZIA,EUROPA
Z150,SLOVENIA,EUROPA
Z153,BOSNIA ED ERZEGOVINA,EUROPA
Z154,RUSSIA=FEDERAZIONE RUSSA,EUROPA
Z155,SLOVACCHIA,EUROPA
Z156,REPUBBLICA CECA,EUROPA
Z160,KOSOVO,EUROPA
Z161,TERRITORI PALESTINESI,EUROPA
Z200,AFGHANISTAN,ASIA
Z203,ARABIA SAUDITA,ASIA
Z204,BAHREIN,ASIA
Z205,BHUTAN,ASIA
Z206,MYANMAR,ASIA
Z207,BRUNEI,ASIA
Z208,CAMBOGIA,ASIA
Z209,SRI LANKA,ASIA
Z210,CINA REPUBBLICA POPOLARE,ASIA
Z211,CIPRO,ASIA
Z212,COCOS (ISOLE),ASIA
Z213,REPUBBLICA DI COREA,ASIA
Z214,COREA DEL NORD,ASIA
Z215,EMIRATI ARABI UNITI,ASIA
Z216,FILIPPINE,ASIA
Z217,REPUBBLICA DELLA CINA NAZIONALE=TAIWAN,ASIA
Z218,GAZA (TERRITORIO DI),ASIA
Z219,GIAPPONE,ASIA
Z220,GIORDANIA,ASIA
Z222,INDIA,ASIA
Z223,INDONESIA,ASIA
Z224,IRAN,ASIA
Z225,IRAQ,ASIA
Z226,ISRAELE,ASIA
Z227,KUWAIT,ASIA
Z228,LAOS,ASIA
Z229,LIBANO,ASIA
Z231,MACAO,ASIA
Z232,MALDIVE,ASIA
Z233,MONGOLIA,ASIA
Z234,NEPAL,ASIA
Z235,OMAN,ASIA
Z236,PAKISTAN,ASIA
Z237,QATAR,ASIA
Z240,SIRIA,ASIA
Z241,THAILANDIA,ASIA
Z243,TURCHIA,ASIA
Z246,YEMEN,ASIA
Z247,MALAYSIA,ASIA
Z248,SINGAPORE,ASIA
Z249,BANGLADESH,ASIA
Z251,VIETNAM,ASIA
Z252,ARMENIA,ASIA
Z253,AZERBAIGIAN,ASIA
Z254,GEORGIA,ASIA
Z255,KAZAKHSTAN,ASIA
Z256,KIRGHIZISTAN,ASIA
Z257,TAGIKISTAN,ASIA
Z258,TURKMENISTAN,ASIA
Z259,UZBEKISTAN,ASIA
Z300,NAMIBIA,AFRICA
Z301,ALGERIA,AFRICA
Z302,ANGOLA,AFRICA
Z305,BURUNDI,AFRICA
Z306,CAMERUN,AFRICA
Z307,CAPO VERDE,AFRICA
Z308,CENTRAFRICANA REPUBBLICA,AFRICA
Z309,CIAD,AFRICA
Z310,COMORE,AFRICA
Z311,CONGO REPUBBLICA POPOLARE,AFRICA
Z312,CONGO REPUBBLICA DEMOCRATICA,AFRICA
Z313,COSTA D'AVORIO,AFRICA
Z314,BENIN,AFRICA
Z315,ETIOPIA,AFRICA
Z316,GABON,AFRICA
Z317,GAMBIA,AFRICA
Z318,GHANA,AFRICA
Z319,GUINEA,AFRICA
Z320,GUINEA BISSAU,AFRICA
Z321,GUINEA EQUATORIALE,AFRICA
Z322,KENYA,AFRICA
Z324,LA REUNION (ISOLA),AFRICA
Z325,LIBERIA,AFRICA
Z326,LIBIA,AFRICA
Z327,MADAGASCAR,AFRICA
Z328,MALAWI,AFRICA
Z329,MALI,AFRICA
Z330,MAROCCO,AFRICA
Z331,MAURITANIA,AFRICA
Z332,MAURIZIO,AFRICA
Z333,MOZAMBICO,AFRICA
Z334,NIGER,AFRICA
Z335,NIGERIA,AFRICA
Z336,EGITTO,AFRICA
